"id","plant","source","user_id","created_at","updated_at","zone"
"1","Bell Peppers","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",1
"2","Cabbage","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",1
"3","Potatoes","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",1
"4","Beets","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"5","Bell Peppers","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"6","Brussel Sprouts","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"7","Cabbage","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"8","Celery","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"9","Grapes","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"10","Parsnips","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"11","Phlox","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"12","Potatoes","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"13","Radishes","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"14","Raspberries","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"15","Tomatoes","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",2
"16","Black-eyed Susans","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",3
"17","Blueberries","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",3
"18","Broccoli","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",3
"19","Brussel Sprouts","Almanac.com","1","2013-Jun-25 04:06:53 +0000","2013-Jun-25 04:06:53 +0000",3
"20","Cabbage","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"21","Celery","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"22","Chives","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"23","Coneflowers","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"24","Crocuses","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"25","Daffodils","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"26","Delphiniums","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"27","Garlic","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"28","Grapes","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"29","Hydrangea","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"30","Lilacs","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"31","Onions","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"32","Parsnips","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"33","Pears","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"34","Peas","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"35","Peonies","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"36","Phlox","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"37","Potatoes","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"38","Pumpkins","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"39","Radishes","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"40","Raspberries","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"41","Sedum","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"42","Spinach","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"43","Strawberries","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"44","Tomatoes","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"45","Tulips","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"46","Turnips","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"47","Veronica","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"48","Watermelon","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"49","Yarrow","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"50","Zinnias","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",3
"51","Apples","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"52","Asparagus","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"53","Aster","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"54","Astilbe","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"55","Beans","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"56","Beets","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"57","Bell Peppers","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"58","black-eyed Susans","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"59","Blueberries","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"60","Broccoli","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"61","brussel Sprouts","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"62","Cabbage","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"63","Cantaloupe","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"64","Carrots","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"65","Celery","Almanac.com","1","2013-Jun-25 04:06:54 +0000","2013-Jun-25 04:06:54 +0000",4
"66","Cherries","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"67","Chives","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"68","Coneflowers","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"69","Corn","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"70","Crocuses","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"71","Cucumbers","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"72","Daffodils","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"73","Delphiniums","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"74","Eggplant","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"75","Garlic","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"76","Grapes","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"77","Hyacinths","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"78","Hydrangea","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"79","Irises","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"80","Lettuce","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"81","Lilies","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"82","Onions","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"83","Pansies","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"84","Parsnips","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"85","Pears","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"86","Peas","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"87","Peonies","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"88","Phlox","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"89","Potatoes","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"90","Pumpkins","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"91","Radishes","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"92","Raspberries","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"93","Rhododendrons","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"94","Sedum","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"95","Spinach","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"96","Strawberries","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"97","Tomatoes","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"98","Tulips","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"99","Turnips","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"100","Veronica","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"101","Watermelon","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"102","Wisteria","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"103","Yarrow","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"104","Zinnias","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",4
"105","Apples","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"106","Asparagus","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"107","Aster","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"108","Astilbe","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"109","Beans","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"110","Beets","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"111","Bell Peppers","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"112","Black-eyed Susans","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"113","Blackberries","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"114","Blueberries","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"115","Broccoli","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"116","Brussel Sprouts","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"117","Butterfly Bush","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"118","Cabbage","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"119","Cantaloupe","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"120","Carrots","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"121","Celery","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"122","Cherries","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"123","Chives","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"124","Coneflowers","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"125","Corn","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"126","Crocuses","Almanac.com","1","2013-Jun-25 04:06:55 +0000","2013-Jun-25 04:06:55 +0000",5
"127","Cucumbers","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"128","Daffodils","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"129","Delphiniums","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"130","Eggplant","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"131","Garlic","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"132","Grapes","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"133","Hyacinths","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"134","Hydrangea","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"135","Irises","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"136","Lettuce","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"137","Lilies","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"138","Onions","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"139","Pansies","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"140","Parsnips","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"141","Peaches","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"142","Pears","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"143","Peas","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"144","Peonies","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"145","Phlox","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"146","Potatoes","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"147","Pumpkins","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"148","Radishes","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"149","Raspberries","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"150","Rhododendrons","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"151","Sage","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"152","Sedum","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"153","Shasta Daisies","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"154","Spinach","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"155","Strawberries","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"156","Thyme","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"157","Tomatoes","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"158","Tulips","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"159","Turnips","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"160","Veronica","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"161","Watermelon","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"162","Wisteria","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"163","Yarrow","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"164","Zinnias","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",5
"165","Apples","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"166","Asparagus","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"167","Aster","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"168","astilbe","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"169","Beans","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"170","Beets","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"171","Bell Peppers","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"172","black-eyed Susans","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"173","Blackberries","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"174","Blueberries","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"175","Broccoli","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"176","Brussel Sprouts","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"177","Butterfly Bush","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"178","Cabbage","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"179","Cantaloupe","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"180","Carrots","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"181","Celery","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"182","Cherries","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"183","Chives","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"184","Coneflowers","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"185","Corn","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"186","Crocuses","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"187","Cucumbers","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"188","Daffodils","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"189","Delphiniums","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"190","Eggplant","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"191","Garlic","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"192","Gladiolus","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"193","Grapes","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"194","Hyacinths","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"195","Hydrangea","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"196","Irises","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"197","Lettuce","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"198","Lilies","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"199","Onions","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"200","Pansies","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"201","Parsnips","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"202","Peaches","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"203","Pears","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"204","Peas","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"205","Peonies","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"206","Phlox","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"207","Potatoes","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"208","Pumpkins","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"209","Radishes","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"210","Raspberries","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"211","Rhododendrons","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"212","Rosemary","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"213","Sage","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"214","Sedum","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"215","Shasta Daisies","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"216","Spinach","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"217","Strawberries","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"218","Thyme","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"219","Tomatoes","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"220","Tulips","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
"221","Turnips","Almanac.com","1","2013-Jun-25 04:06:56 +0000","2013-Jun-25 04:06:56 +0000",6
